Gene,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
Camsap2,2.75869758200651e-10,-0.490782793447822,0.09,0.153,7.22282200920945e-06
Fmn1,2.7600454179111e-10,-0.508517387867742,0.098,0.165,7.22635091317484e-06
Gsr,2.9073533709777e-10,-0.31045785384693,0.175,0.26,7.61203259589382e-06
Eif4a1,2.9582180033703e-10,0.361321633802534,0.813,0.829,7.74520637642413e-06
F630028O10Rik,3.1191726899814e-10,-0.418341536093474,0.084,0.146,8.16661793690932e-06
Cflar,3.12104253764177e-10,0.664410212063181,0.422,0.374,8.17151357205369e-06
Cul5,3.16175482798163e-10,-0.433232884209577,0.133,0.207,8.2781064906215e-06
Khdc4,3.34901317023194e-10,-0.495300012315751,0.114,0.184,8.76838628230127e-06
Ube2g1,3.3708261474505e-10,-0.301721900455173,0.176,0.261,8.82549701925489e-06
Ccl8,3.39568702482673e-10,1.19088877239183,0.535,0.716,8.89058776840134e-06
Ndfip1,3.54818688834232e-10,-0.237372664883347,0.302,0.413,9.28986291105786e-06
Wfdc18,3.58165329783942e-10,2.17444846663025,0.031,0.009,9.37748466440316e-06
Hrh2,3.63915619280771e-10,-0.944939723625811,0.035,0.08,9.52803874400914e-06
Phf2,3.66089895212242e-10,-0.48753098124751,0.12,0.19,9.58496563644693e-06
Scamp5,3.75352612711648e-10,-0.751439946319364,0.056,0.108,9.82748210601636e-06
Syne1,3.75888031080765e-10,1.07459472838179,0.126,0.079,9.84150042975658e-06
Tm9sf3,3.77968240908101e-10,-0.214786380511752,0.506,0.615,9.89596448345589e-06
Nfs1,3.77995325865677e-10,-0.635409105353111,0.076,0.136,9.89667362181515e-06
Hmbox1,3.79518909111397e-10,-0.392769197250819,0.151,0.228,9.93656407835459e-06
Cdk12,3.82632270108914e-10,-0.387461693547204,0.141,0.217,1.00180780959916e-05
Tst,4.03300563104069e-10,1.38158092078336,0.078,0.04,1.05592153431907e-05
Sh2d3c,4.05714391946712e-10,1.2079529736875,0.079,0.041,1.06224142099488e-05
Sfmbt1,4.08014867273816e-10,-0.37583756786313,0.159,0.24,1.06826452549631e-05
Scamp2,4.10912574268694e-10,-0.243271676164944,0.337,0.448,1.07585130195029e-05
Bach1,4.18458762252723e-10,-0.319630236530881,0.213,0.304,1.09560873133008e-05
Chst12,4.24289885506032e-10,0.856993098411622,0.178,0.124,1.11087577823189e-05
R3hdm2,4.3582465972481e-10,-0.304197844315737,0.3,0.403,1.1410761240915e-05
P2ry10b,4.37168435803634e-10,0.834168658433485,0.214,0.156,1.14459439862107e-05
Rnf220,4.43943264701528e-10,-0.639610677344855,0.076,0.135,1.16233225564154e-05
Rexo2,4.58261746152586e-10,-0.189853255233034,0.362,0.478,1.1998209037767e-05
Prkar2b,4.77020301084044e-10,1.06670062977743,0.123,0.076,1.24893455229824e-05
Pcyox1,4.84223527938293e-10,-0.50883617567643,0.127,0.197,1.26779404084804e-05
Fgd2,4.90419459933288e-10,-0.962060099500565,0.038,0.084,1.28401622999733e-05
Setx,4.95318206216308e-10,-0.528652122830665,0.123,0.193,1.29684212751554e-05
Ttc14,4.9787082647042e-10,-0.382258108319684,0.17,0.249,1.30352539786485e-05
Clec4a2,5.11859313485714e-10,-0.329224331736419,0.379,0.477,1.3401500545683e-05
Junos,5.28012620036391e-10,1.88901688151928,0.043,0.017,1.38244264177928e-05
Myo1f,5.58521695445228e-10,0.361140440003352,0.641,0.62,1.46232150301469e-05
Mknk2,5.7658087614933e-10,0.801784325164499,0.251,0.193,1.50960404993418e-05
Ubxn4,5.77574165066683e-10,0.545094158747958,0.5,0.465,1.51220467897759e-05
Laptm5,5.79301414568616e-10,-0.11003600117464,0.913,0.954,1.51672696362355e-05
Lmbrd1,5.80817860189877e-10,-0.264732276491068,0.22,0.312,1.52069732154914e-05
Cndp2,5.81752661217108e-10,-0.151847578475926,0.831,0.907,1.52314481759863e-05
Rpl14,5.85800564033711e-10,0.547421529936936,0.479,0.447,1.53374303675306e-05
0610012G03Rik,5.9634198614293e-10,0.63352953765824,0.364,0.309,1.56134258811942e-05
Arhgef6,6.20963363815883e-10,-0.59100838354503,0.096,0.159,1.62580627914274e-05
Fam126a,6.21196661370628e-10,-0.463839594345469,0.113,0.183,1.62641709880058e-05
Rbm19,6.32000512113796e-10,-1.13889293789038,0.017,0.053,1.65470374081634e-05
Atad1,6.47951897340672e-10,-0.326769437166318,0.211,0.298,1.69646765761735e-05
Numa1,6.55317076850492e-10,-0.596062868457481,0.086,0.147,1.71575117060996e-05
Ptpn11,6.56815298580427e-10,-0.561122298191783,0.103,0.168,1.71967381474327e-05
Specc1l,6.63656743671012e-10,-0.712888176069252,0.054,0.105,1.73758608627944e-05
Zfhx2,6.76719601708271e-10,-0.967253817853708,0.028,0.069,1.7717872611926e-05
Atn1,6.87082071290738e-10,-0.335663658036018,0.204,0.289,1.79891827905341e-05
Ei24,6.87441093755614e-10,-0.436686224084182,0.123,0.192,1.79985827167095e-05
Pon3,6.9772398424771e-10,-0.40227716055566,0.155,0.232,1.82678093555735e-05
Ahsa1,7.0473057571673e-10,1.00125890336149,0.136,0.087,1.84512559334154e-05
Exoc4,7.08964003786484e-10,-0.309968464641752,0.264,0.362,1.85620955471377e-05
Myrf,7.17608616480295e-10,2.32791986201877,0.023,0.006,1.87884287966871e-05
Tes,7.50655505485745e-10,1.12250704768366,0.162,0.11,1.96536624446278e-05
Psmd6,7.57510929380185e-10,-0.424383361850716,0.152,0.228,1.9833151153032e-05
Sod1,7.69565417257074e-10,-0.258690840940425,0.271,0.371,2.01487617546247e-05
Clec5a,7.78020635631801e-10,0.941945065945436,0.184,0.131,2.03701362821118e-05
Gm14221,7.85395895626482e-10,-3.5110668090965,0.002,0.027,2.05632353392925e-05
Il36g,8.02831040515595e-10,2.71706909841193,0.019,0.004,2.10197223027793e-05
Tmem184b,8.06646827802801e-10,0.855407162554418,0.199,0.143,2.11196272455329e-05
Mt1,8.15319689135917e-10,-0.119292574083835,0.493,0.601,2.13467001009566e-05
Pbrm1,8.15486864106988e-10,-0.233881469788433,0.337,0.446,2.13510770760492e-05
