Gene,avg_log2FC,p_val,p_val_adj,neg_log10_p_adj,pct.1,pct.2,Class,Labelled
Pigh,-1.2357537777033,1.16446849082617e-07,0.00304881140268108,2.51586943995348,0.019,0.049,log2FC_only,FALSE
Lrp10,-0.308644810878398,1.18943964532286e-07,0.00311419087938432,2.5066547715615,0.134,0.197,NS,FALSE
Usp18,0.98840545213634,1.21298676243984e-07,0.00317584194141998,2.49814112012317,0.082,0.048,NS,FALSE
Rnf187,-0.233405938642949,1.22889009284422e-07,0.00321748004108475,2.49248413846356,0.202,0.279,NS,FALSE
Erlin2,-0.437673848062062,1.23898857921951e-07,0.00324391989811252,2.48892987833179,0.112,0.17,NS,FALSE
Naa35,-0.485042988026756,1.24458239843855e-07,0.00325856563559182,2.48697352681254,0.054,0.098,NS,FALSE
Lrrfip1,-0.234962100403933,1.25169248285956e-07,0.0032771812586229,2.48449953742668,0.235,0.318,NS,FALSE
Spi1,-0.13685104289115,1.26503797027265e-07,0.00331212241376785,2.47989362036499,0.685,0.78,NS,FALSE
Slc12a9,-0.55304446441603,1.26945744779548e-07,0.00332369348981813,2.47837903356975,0.061,0.105,NS,FALSE
Pyurf,-0.665541200804884,1.28008386642315e-07,0.00335151557906908,2.47475875750612,0.046,0.086,NS,FALSE
Fubp3,-0.329478895655661,1.28941414478335e-07,0.00337594411387177,2.47160475139413,0.105,0.162,NS,FALSE
Ly6a2,1.4251875256018,1.29348314270363e-07,0.00338659756422666,2.47023640832134,0.039,0.017,log2FC_only,FALSE
Bod1l,-0.230744380659329,1.29882051475786e-07,0.00340057187173903,2.46844804182359,0.216,0.29,NS,FALSE
Zeb2,-0.108225311623515,1.30088974225614e-07,0.00340598952317503,2.46775669226134,0.705,0.802,NS,FALSE
Pnpla7,-0.414870653500299,1.30174068297454e-07,0.00340821745616394,2.46747270351825,0.076,0.125,NS,FALSE
Nt5c2,-0.397372137846209,1.32354886501102e-07,0.00346531563837185,2.46025720152548,0.106,0.163,NS,FALSE
Mob4,-0.368227008321518,1.33206614083292e-07,0.00348761556992874,2.45747139216259,0.126,0.187,NS,FALSE
Scamp3,-0.248009159042009,1.34844422365725e-07,0.00353049666637941,2.45216419424531,0.253,0.337,NS,FALSE
Magoh,-0.479086520892966,1.35090607719867e-07,0.00353694229132156,2.45137202606737,0.042,0.081,NS,FALSE
H2-M2,2.57905501303044,1.36406412462176e-07,0.00357139269108468,2.44716239450204,0.048,0.023,log2FC_only,FALSE
Pole4,-0.381399714015583,1.37186843430043e-07,0.00359182593468539,2.4446847180619,0.134,0.195,NS,FALSE
Rpn1,0.5901858918934,1.3861873385553e-07,0.00362931568980548,2.44017525379516,0.301,0.252,NS,FALSE
Rad50,-0.396820004485738,1.38837483206953e-07,0.00363504298532445,2.43949044912989,0.111,0.166,NS,FALSE
Commd7,-0.378363257877709,1.39367498687241e-07,0.00364891985062936,2.43783567590959,0.14,0.202,NS,FALSE
Vsir,-0.221349815777005,1.39430547098446e-07,0.00365057058413152,2.43763925001665,0.397,0.493,NS,FALSE
Cyth1,-0.438215893272875,1.39827431352824e-07,0.00366096180767965,2.43640480179328,0.136,0.198,NS,FALSE
Mtmr9,-0.398890446055051,1.40344573911029e-07,0.00367450163413857,2.43480155514317,0.093,0.144,NS,FALSE
Rilpl2,0.971781798498524,1.42659803056942e-07,0.00373511896363686,2.42769556133767,0.25,0.206,NS,FALSE
Rhob,0.555389367012212,1.42849435055896e-07,0.00374008390863347,2.42711865431083,0.325,0.276,NS,FALSE
Stard3nl,-0.194980995384567,1.45605308239243e-07,0.00381223818031986,2.41881997341483,0.298,0.389,NS,FALSE
Mapk6,0.613665749394026,1.4609838773176e-07,0.00382514798759294,2.41735175817004,0.397,0.358,NS,FALSE
Ly96,-0.388594667373071,1.48442697340547e-07,0.0038865267017702,2.41043834419634,0.09,0.142,NS,FALSE
Rnf11,-0.281813756584309,1.48995117161808e-07,0.00390099015753046,2.40882514544202,0.148,0.214,NS,FALSE
Xrn2,-0.224627292501318,1.51665425161681e-07,0.00397090416158314,2.40111059457748,0.267,0.353,NS,FALSE
Braf,-0.193162412230775,1.52462239177615e-07,0.00399176634614831,2.39883488761219,0.242,0.321,NS,FALSE
Gprc5c,-3.0126165644553,1.5391024409299e-07,0.00402967801084268,2.3947296545291,0.002,0.02,log2FC_only,FALSE
