Gene,avg_log2FC,p_val,p_val_adj,neg_log10_p_adj,pct.1,pct.2,Class,Labelled
S100a9,4.69308403270553,3.20533984395305e-09,8.39222077943787e-05,4.07612309940574,0.191,0.075,log2FC_only,FALSE
Stfa3,5.24347825747699,3.64564598018033e-09,9.54503030530813e-05,4.02022268839057,0.076,0.014,log2FC_only,FALSE
C3ar1,0.618216622238253,3.82236990790463e-09,0.000100077288928759,3.99966446809509,0.36,0.182,NS,FALSE
Eif4g2,-0.624147362041149,3.97896862250747e-09,0.000104177356474491,3.98222666709057,0.686,0.789,NS,FALSE
Ctsb,0.917623911620169,4.22394133351632e-09,0.000110591231994124,3.95627930384069,0.754,0.643,log2FC_only,FALSE
Serpinb10,5.76355218190462,4.32236827325931e-09,0.000113168246130475,3.94627541471025,0.025,0,log2FC_only,FALSE
Ltb4r1,1.35543377142176,4.85175465761061e-09,0.000127028640445561,3.89609835002708,0.165,0.057,log2FC_only,FALSE
Ubc,0.744217345929558,4.87145589915732e-09,0.000127544458351737,3.89433840619998,0.822,0.725,NS,FALSE
Gapt,3.65340949359162,6.25281764817733e-09,0.000163711271664579,3.78592141800281,0.047,0.004,log2FC_only,FALSE
P2ry13,4.06166601650841,6.49847180795385e-09,0.000170142988875848,3.7691859422794,0.034,0.001,log2FC_only,FALSE
Hp,4.09781945969938,6.54215167600026e-09,0.000171286615181039,3.76627657270367,0.034,0.001,log2FC_only,FALSE
Plin3,1.26021297377775,6.9773556693592e-09,0.000182681126135163,3.73830631985473,0.263,0.123,log2FC_only,FALSE
Tnfsf8,-1.02420877317496,7.33605253509231e-09,0.000192072527473787,3.71653474872377,0.297,0.484,log2FC_only,FALSE
Ptafr,1.74804379533065,7.3731218647959e-09,0.000193043076664086,3.7143457693857,0.136,0.042,log2FC_only,FALSE
Scd2,0.920196893339119,7.57705212441463e-09,0.000198382378721424,3.70249690659676,0.432,0.254,log2FC_only,FALSE
Ptprc,-0.580242993053351,9.27632936776884e-09,0.000242872855506924,3.61462102106276,0.958,0.961,NS,FALSE
Selenow,1.00241114060362,1.19192882572589e-08,0.000312070805151554,3.50574685855236,0.47,0.299,log2FC_only,FALSE
Hmox1,1.42631528514727,1.32545237325708e-08,0.00034702994036617,3.45963305438816,0.343,0.186,log2FC_only,FALSE
Thbs1,1.75982618352461,1.38714109116304e-08,0.000363181280488307,3.43987654448505,0.39,0.242,log2FC_only,FALSE
