Cell,SampleID,seurat_clusters,CellType1,nCount_RNA,nFeature_RNA,percent.mt,percent.rb,FibroblastScore1,FibroblastScoreFull,umap_1,umap_2
458949,Adipo_Cocultured,2,Macrophages,5265,2247,4.5204,6.3628,-0.144473,0.067938,3.974688,-0.351009
464211,Fibro_Cocultured,4,Macrophages,3452,1649,7.6188,3.3314,-0.173397,0.07893,1.436564,-0.909859
466240,Fibro_Cocultured,3,Macrophages,4357,2307,3.4427,3.8559,-0.066221,0.247519,2.673737,-4.763858
468521,Fibro_Cocultured,7,T Cells,2939,1540,8.3021,6.1245,-0.086842,0.6051,-6.585979,0.726885
472383,Adipo_Cocultured,1,Monocytes,3852,1560,5.0883,4.5171,-0.154793,0.251241,-0.331769,-0.288942
479573,Adipo_Cocultured,10,Myeloid Progenitors,4616,2164,7.4523,9.1638,-0.135844,-0.068923,-3.447104,6.77545
481320,Fibro_Cocultured,4,Macrophages,3438,1564,8.5515,2.4433,-0.089746,0.120034,-0.077981,-1.588915
482920,Fibro_Cocultured,9,T Cells,4310,1959,8.8399,9.2111,-0.145985,0.430152,-6.524277,2.755298
494298,Adipo_Cocultured,5,Monocytes,1353,810,6.9475,4.065,-0.083253,0.283928,1.94682,4.026582
494511,Adipo_Cocultured,1,Monocytes,2165,1275,4.5266,6.097,-0.123458,0.083676,-0.178627,2.090009
498868,Fibro_Cocultured,9,T Cells,4347,2110,6.2802,10.329,-0.189324,0.225063,-7.598363,1.803338
503861,Fibro_Cocultured,2,Macrophages,4498,1992,7.8479,2.7568,-0.106387,0.163014,2.422233,-2.672933
512039,Fibro_Cocultured,3,Macrophages,2839,1581,7.1152,2.9588,-0.150683,0.127266,4.69987,-4.059988
515214,Fibro_Cocultured,3,Macrophages,2219,1373,4.7769,4.0559,-0.06379,-0.016312,2.515211,-4.983391
520537,Fibro_Cocultured,12,T Cells,4132,2175,5.4211,11.06,-0.110403,0.14262,-8.14825,1.858496
