Cell,umap_1,umap_2,SampleID,AdipoAlpha,FibroAlpha
852701,1.479327,3.556717,Adipo_Cocultured,1,0.3
858929,3.466517,-3.168115,Fibro_Cocultured,0.3,1
864398,-6.961238,-1.579781,Fibro_Cocultured,0.3,1
873061,0.825725,1.106672,Fibro_Cocultured,0.3,1
875410,2.241771,-2.382295,Fibro_Cocultured,0.3,1
882701,3.656639,-3.909389,Fibro_Cocultured,0.3,1
883396,3.280158,-3.341627,Fibro_Cocultured,0.3,1
889736,-6.046318,-6.913685,Fibro_Cocultured,0.3,1
895549,-5.995085,-6.814418,Fibro_Cocultured,0.3,1
897056,4.002762,-3.400803,Adipo_Cocultured,1,0.3
899307,-7.658784,1.83472,Fibro_Cocultured,0.3,1
901179,-6.041907,-6.727825,Fibro_Cocultured,0.3,1
902312,-1.583966,2.342471,Adipo_Cocultured,1,0.3
902442,2.487364,-2.563623,Fibro_Cocultured,0.3,1
902452,-0.316812,1.991969,Adipo_Cocultured,1,0.3
910994,-3.670049,5.151323,Adipo_Cocultured,1,0.3
930974,-6.528535,-0.092404,Fibro_Cocultured,0.3,1
931034,-0.066795,0.11767,Adipo_Cocultured,1,0.3
931646,3.124895,0.645488,Fibro_Cocultured,0.3,1
937732,1.5374,4.051837,Adipo_Cocultured,1,0.3
937945,4.955938,-1.832103,Fibro_Cocultured,0.3,1
960186,3.96454,-2.974583,Adipo_Cocultured,1,0.3
961694,2.414344,4.29138,Adipo_Cocultured,1,0.3
965050,2.328309,-0.753307,Fibro_Cocultured,0.3,1
965939,4.615788,-3.693365,Adipo_Cocultured,1,0.3
967248,1.996654,-3.037701,Fibro_Cocultured,0.3,1
979896,-8.310936,2.175511,Fibro_Cocultured,0.3,1
979916,3.105244,1.556363,Fibro_Cocultured,0.3,1
984333,-0.951039,2.375287,Adipo_Cocultured,1,0.3
991178,5.36039,-3.296816,Fibro_Cocultured,0.3,1
1003468,-2.307325,7.807425,Adipo_Cocultured,1,0.3
1014371,3.478014,-1.718765,Fibro_Cocultured,0.3,1
1017182,0.509798,5.949433,Adipo_Cocultured,1,0.3
1020347,-4.685721,4.340464,Adipo_Cocultured,1,0.3
1027673,1.772978,5.288454,Adipo_Cocultured,1,0.3
1027880,1.470334,3.972781,Adipo_Cocultured,1,0.3
1037481,0.367411,3.945784,Adipo_Cocultured,1,0.3
1039594,3.696345,0.304294,Adipo_Cocultured,1,0.3
1041871,3.674851,-1.897859,Fibro_Cocultured,0.3,1
1044559,1.71954,-0.156574,Fibro_Cocultured,0.3,1
1055164,0.544108,7.176738,Adipo_Cocultured,1,0.3
1057034,-9.920988,-1.893617,Fibro_Cocultured,0.3,1
1059539,1.562268,-2.997683,Fibro_Cocultured,0.3,1
1059930,-0.994339,1.967744,Adipo_Cocultured,1,0.3
1061767,5.775054,-3.036313,Fibro_Cocultured,0.3,1
1062604,0.65687,-1.684155,Fibro_Cocultured,0.3,1
1068214,-0.167308,-3.859556,Fibro_Cocultured,0.3,1
1069387,1.337016,-4.718928,Fibro_Cocultured,0.3,1
1070512,-3.035424,7.477938,Adipo_Cocultured,1,0.3
1071280,-6.369829,-0.694909,Fibro_Cocultured,0.3,1
1074881,-0.089662,-2.424049,Adipo_Cocultured,1,0.3
1077640,-10.9673,-0.996253,Fibro_Cocultured,0.3,1
1083362,2.756665,-0.248979,Adipo_Cocultured,1,0.3
1088857,1.062471,-3.61071,Fibro_Cocultured,0.3,1
1091812,0.770029,-3.45041,Fibro_Cocultured,0.3,1
1103812,-9.989446,-0.988179,Fibro_Cocultured,0.3,1
1109140,3.164289,-1.886094,Adipo_Cocultured,1,0.3
1118531,-8.301939,0.242326,Adipo_Cocultured,1,0.3
1120286,-0.236904,0.202194,Adipo_Cocultured,1,0.3
1133426,2.400153,3.557956,Adipo_Cocultured,1,0.3
1138093,-1.018212,1.349717,Adipo_Cocultured,1,0.3
1140356,0.675968,1.613547,Adipo_Cocultured,1,0.3
1141468,-6.847269,1.966081,Fibro_Cocultured,0.3,1
1144663,1.535088,2.346637,Adipo_Cocultured,1,0.3
1149927,0.242219,5.510054,Adipo_Cocultured,1,0.3
1150631,0.441979,2.542377,Adipo_Cocultured,1,0.3
1150632,3.519655,0.85854,Fibro_Cocultured,0.3,1
1151104,4.030116,-1.223121,Fibro_Cocultured,0.3,1
1155153,-7.405846,1.193051,Fibro_Cocultured,0.3,1
1156502,1.739004,-1.086027,Fibro_Cocultured,0.3,1
1158093,0.966022,2.486554,Adipo_Cocultured,1,0.3
1171864,3.128681,-2.51886,Fibro_Cocultured,0.3,1
1180961,0.702191,-2.586671,Adipo_Cocultured,1,0.3
1186260,0.774307,6.034122,Adipo_Cocultured,1,0.3
1187634,0.29912,-1.358121,Adipo_Cocultured,1,0.3
1189495,3.446518,-2.637578,Fibro_Cocultured,0.3,1
1190851,0.741263,2.576303,Adipo_Cocultured,1,0.3
1192076,0.630368,-0.312453,Adipo_Cocultured,1,0.3
1194013,1.821149,-3.110557,Adipo_Cocultured,1,0.3
1198469,2.972352,0.480505,Adipo_Cocultured,1,0.3
1202854,1.165982,0.957148,Fibro_Cocultured,0.3,1
1209122,1.630712,0.984266,Adipo_Cocultured,1,0.3
1210461,-3.790733,6.616618,Adipo_Cocultured,1,0.3
1212551,-6.719243,-0.187991,Fibro_Cocultured,0.3,1
1216890,-9.026852,-1.722094,Fibro_Cocultured,0.3,1
1218630,-0.091206,1.620494,Adipo_Cocultured,1,0.3
1218711,1.265231,2.213483,Adipo_Cocultured,1,0.3
1224222,4.470053,-1.626947,Fibro_Cocultured,0.3,1
1227452,-1.05142,2.73886,Adipo_Cocultured,1,0.3
1229246,-8.688994,-1.85561,Fibro_Cocultured,0.3,1
1239124,-6.84437,3.394016,Fibro_Cocultured,0.3,1
1254935,2.93794,-3.286605,Fibro_Cocultured,0.3,1
1269638,-7.3898,-0.734809,Fibro_Cocultured,0.3,1
1269963,3.937065,0.394932,Fibro_Cocultured,0.3,1
1279233,1.517352,-4.831202,Adipo_Cocultured,1,0.3
1279522,2.854203,1.21005,Adipo_Cocultured,1,0.3
1284445,-0.403178,-1.932815,Adipo_Cocultured,1,0.3
1288986,3.371076,0.070313,Adipo_Cocultured,1,0.3
1289935,-9.972748,-1.420607,Fibro_Cocultured,0.3,1
1291730,-7.098284,-1.046056,Fibro_Cocultured,0.3,1
1293894,-0.908888,3.077864,Adipo_Cocultured,1,0.3
1297353,2.965088,0.030264,Fibro_Cocultured,0.3,1
1299724,-8.879141,-1.924413,Fibro_Cocultured,0.3,1
1300773,1.140568,-1.070981,Adipo_Cocultured,1,0.3
1303288,1.865261,-2.489649,Adipo_Cocultured,1,0.3
1306289,-6.352854,1.780619,Fibro_Cocultured,0.3,1
1306884,1.559048,5.340347,Adipo_Cocultured,1,0.3
1307722,-0.661013,-0.025991,Adipo_Cocultured,1,0.3
1309583,0.999185,-1.129858,Adipo_Cocultured,1,0.3
1316111,5.694373,-1.701251,Fibro_Cocultured,0.3,1
1318322,-4.856555,4.666969,Adipo_Cocultured,1,0.3
1323450,0.349025,-2.499129,Fibro_Cocultured,0.3,1
