Cell,umap_1,umap_2,CellType1,colour
979916,3.105244,1.556363,Monocytes,#9897df
984333,-0.951039,2.375287,Monocytes,#9897df
991178,5.36039,-3.296816,Macrophages,#f08592
1003468,-2.307325,7.807425,Myeloid Progenitors,#004583
1014371,3.478014,-1.718765,Macrophages,#f08592
1017182,0.509798,5.949433,Monocytes,#9897df
1020347,-4.685721,4.340464,Myeloid Progenitors,#004583
1027673,1.772978,5.288454,Monocytes,#9897df
1027880,1.470334,3.972781,Monocytes,#9897df
1037481,0.367411,3.945784,Monocytes,#9897df
1039594,3.696345,0.304294,Macrophages,#f08592
1041871,3.674851,-1.897859,Macrophages,#f08592
1044559,1.71954,-0.156574,Macrophages,#f08592
1055164,0.544108,7.176738,Neutrophils,#c38200
1057034,-9.920988,-1.893617,NK Cells,#8a001b
1059539,1.562268,-2.997683,Macrophages,#f08592
1059930,-0.994339,1.967744,Monocytes,#9897df
1061767,5.775054,-3.036313,Macrophages,#f08592
1062604,0.65687,-1.684155,Monocytes,#9897df
1068214,-0.167308,-3.859556,Macrophages,#f08592
1069387,1.337016,-4.718928,Macrophages,#f08592
1070512,-3.035424,7.477938,Myeloid Progenitors,#004583
1071280,-6.369829,-0.694909,T Cells,#f6d100
1074881,-0.089662,-2.424049,Macrophages,#f08592
1077640,-10.9673,-0.996253,NK Cells,#8a001b
1083362,2.756665,-0.248979,Macrophages,#f08592
1088857,1.062471,-3.61071,Macrophages,#f08592
1091812,0.770029,-3.45041,Macrophages,#f08592
1103812,-9.989446,-0.988179,NK Cells,#8a001b
1109140,3.164289,-1.886094,Macrophages,#f08592
1118531,-8.301939,0.242326,T Cells,#f6d100
1120286,-0.236904,0.202194,Monocytes,#9897df
1133426,2.400153,3.557956,Monocytes,#9897df
1138093,-1.018212,1.349717,Monocytes,#9897df
1140356,0.675968,1.613547,Monocytes,#9897df
1141468,-6.847269,1.966081,T Cells,#f6d100
1144663,1.535088,2.346637,Monocytes,#9897df
1149927,0.242219,5.510054,Monocytes,#9897df
1150631,0.441979,2.542377,Monocytes,#9897df
1150632,3.519655,0.85854,Macrophages,#f08592
1151104,4.030116,-1.223121,Macrophages,#f08592
1155153,-7.405846,1.193051,T Cells,#f6d100
1156502,1.739004,-1.086027,Macrophages,#f08592
1158093,0.966022,2.486554,Monocytes,#9897df
1171864,3.128681,-2.51886,Macrophages,#f08592
1180961,0.702191,-2.586671,Macrophages,#f08592
1186260,0.774307,6.034122,Monocytes,#9897df
1187634,0.29912,-1.358121,Monocytes,#9897df
1189495,3.446518,-2.637578,Macrophages,#f08592
1190851,0.741263,2.576303,Monocytes,#9897df
1192076,0.630368,-0.312453,Macrophages,#f08592
1194013,1.821149,-3.110557,Macrophages,#f08592
1198469,2.972352,0.480505,Monocytes,#9897df
1202854,1.165982,0.957148,Monocytes,#9897df
1209122,1.630712,0.984266,Macrophages,#f08592
1210461,-3.790733,6.616618,Myeloid Progenitors,#004583
