Gene,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
Ly6a,2.75797488637379e-06,0.636899416835277,0.911,0.879,0.0722092984750387
Bcl2,2.7797756691899e-06,-0.691839890910491,0.53,0.655,0.07278008657073
Anxa5,2.88033420617374e-06,0.771215853745087,0.483,0.334,0.0754129101860408
Ppp1r15a,3.3257160670125e-06,1.26080446171723,0.119,0.044,0.0870738980665213
Niban2,3.73873273475109e-06,1.28209573796998,0.267,0.15,0.0978875004612529
Itgb2,3.99867594955624e-06,0.709364922643859,0.75,0.641,0.104693333711282
Gsn,4.13850183696626e-06,1.21981669406714,0.195,0.094,0.108354255095451
Serp1,4.14422774018464e-06,0.803075691122445,0.453,0.322,0.108504170693514
Mapk3,4.37621119476456e-06,1.05212044221448,0.292,0.172,0.114577961501326
Itm2b,4.49122468439802e-06,0.309921852900936,0.877,0.791,0.117589244686909
Sat1,4.63372142880101e-06,1.18908563095649,0.377,0.254,0.121320094448868
Hpse,4.69451983393162e-06,1.28026099378939,0.165,0.075,0.122911918291998
Atp1a3,4.77264241549081e-06,1.86572809185996,0.119,0.045,0.12495732372238
Gprc5b,4.97397571593458e-06,3.38407574776351,0.03,0.003,0.130228632194599
Sdc3,4.9984602536637e-06,0.89679462552154,0.258,0.141,0.130869686361423
Blvrb,5.10435711303595e-06,1.44239044021198,0.212,0.111,0.133642277933507
Ier3,5.10849636995835e-06,2.03178702449671,0.106,0.038,0.13375065195825
Mmp19,5.15930621563276e-06,1.44264935825819,0.14,0.058,0.135080955337697
Trir,5.50143304172388e-06,-0.496290019724862,0.453,0.601,0.144038519898415
Msmo1,5.68538770013359e-06,1.33168125837081,0.212,0.11,0.148854820764898
Mmp13,5.73498271014385e-06,4.19407921324967,0.072,0.02,0.150153317316986
Trappc1,6.01978255534806e-06,0.852557866009457,0.381,0.251,0.157609946864123
Hspb6,6.40636569619231e-06,2.13638637324911,0.051,0.01,0.167731466657707
Cd38,6.42853805697058e-06,0.904977689677632,0.237,0.128,0.168311983407604
Oasl2,6.65681684216991e-06,1.78825462025109,0.186,0.092,0.174288778561693
mt-Nd1,6.77401423375254e-06,-0.247834321201892,1,0.999,0.177357240668109
E230016K23Rik,6.89614452078324e-06,2.0572985220626,0.106,0.039,0.180554855843147
Capg,7.12374861045055e-06,0.484995764983862,0.708,0.575,0.186513986118816
Ccl7,7.15692655558589e-06,1.05959351291368,0.318,0.188,0.18738265107835
Rgs2,7.27614929180621e-06,1.51856301679366,0.11,0.041,0.19050414075807
Pirb,7.34289411667188e-06,1.11521606863694,0.208,0.106,0.192251653762703
